SOUND,-1.00m,0.00m,1.0m,2.00m,3.00m,4.00m,5.00m,LCG,TCG,VCG,IY
0.0,1.1,0.7,0.3,0.2,0.2,0.1,0.1,23.87,-5.07,9.71,14
5.0,2.1,1.8,1.4,1.0,0.7,0.6,0.5,23.87,-5.07,9.74,14
10.0,3.2,2.8,2.4,2.0,1.7,1.3,1.1,23.87,-5.07,9.76,14
15.0,4.2,3.8,3.5,3.1,2.7,2.3,1.9,23.87,-5.07,9.79,14
20.0,5.2,4.9,4.5,4.1,3.7,3.4,3.0,23.87,-5.07,9.81,14
25.0,6.3,5.9,5.5,5.1,4.8,4.4,4.0,23.87,-5.07,9.84,14
30.0,7.3,6.9,6.6,6.2,5.8,5.4,5.1,23.87,-5.07,9.86,14
35.0,8.3,8.0,7.6,7.2,6.8,6.5,6.1,23.87,-5.07,9.89,14
40.0,9.4,9.0,8.6,8.2,7.9,7.5,7.1,23.87,-5.07,9.91,14
45.0,10.4,10.0,9.7,9.3,8.9,8.5,8.2,23.87,-5.07,9.94,14
50.0,11.4,11.1,10.7,10.3,9.9,9.6,9.2,23.87,-5.07,9.96,14
55.0,12.5,12.1,11.7,11.4,11.0,10.6,10.2,23.87,-5.07,9.99,14
60.0,13.5,13.1,12.8,12.4,12.0,11.6,11.3,23.87,-5.07,10.01,14
65.0,14.6,14.2,13.8,13.4,13.0,12.7,12.3,23.87,-5.07,10.04,14
70.0,15.6,15.2,14.8,14.5,14.1,13.7,13.3,23.87,-5.07,10.06,14
75.0,16.6,16.2,15.9,15.5,15.1,14.7,14.4,23.87,-5.07,10.09,14
80.0,17.7,17.3,16.9,16.5,16.2,15.8,15.4,23.87,-5.07,10.11,14
85.0,18.2,18.2,17.9,17.5,17.2,16.8,16.4,23.87,-5.07,10.14,0
90.0,-,-,18.2,18.1,17.9,17.5,17.2,-,-,-,-
95.0,-,-,-,18.2,18.2,18.0,17.8,-,-,-,-
100.0,-,-,-,-,-,18.2,18.1,-,-,-,-
105.0,-,-,-,-,-,-,18.2,-,-,-,-
110.0,-,-,-,-,-,-,-,-,-,-,-
252.6,-,-,-,-,-,-,-,-,-,-,-
