SOUND,-1.00m,0.00m,1.0m,2.00m,3.00m,4.00m,5.00m,LCG,TCG,VCG,IY
0.0,1.1,0.7,0.3,0.2,0.1,0.1,0.1,24.01,1.06,9.71,14
5.0,2.1,1.7,1.3,0.9,0.6,0.5,0.4,24.01,1.06,9.74,14
10.0,3.1,2.8,2.4,2.0,1.6,1.2,1.0,24.01,1.06,9.76,14
15.0,4.2,3.8,3.4,3.0,2.6,2.2,1.8,24.01,1.06,9.79,14
20.0,5.2,4.8,4.4,4.0,3.6,3.2,2.8,24.01,1.06,9.81,14
25.0,6.2,5.8,5.4,5.0,4.6,4.2,3.8,24.01,1.06,9.84,14
30.0,7.2,6.8,6.4,6.0,5.6,5.3,4.9,24.01,1.06,9.86,14
35.0,8.2,7.8,7.5,7.1,6.7,6.3,5.9,24.01,1.06,9.89,14
40.0,9.3,8.9,8.5,8.1,7.7,7.3,6.9,24.01,1.06,9.91,14
45.0,10.3,9.9,9.5,9.1,8.7,8.3,7.9,24.01,1.06,9.94,14
50.0,11.3,10.9,10.5,10.1,9.7,9.3,8.9,24.01,1.06,9.96,14
55.0,12.3,11.9,11.5,11.1,10.7,10.3,10.0,24.01,1.06,9.99,14
60.0,13.3,12.9,12.5,12.2,11.8,11.4,11.0,24.01,1.06,10.01,14
65.0,14.4,14.0,13.6,13.2,12.8,12.4,12.0,24.01,1.06,10.04,14
70.0,15.4,15.0,14.6,14.2,13.8,13.4,13.0,24.01,1.06,10.06,14
75.0,16.4,16.0,15.6,15.2,14.8,14.4,14.0,24.01,1.06,10.09,14
80.0,17.4,17.0,16.6,16.2,15.8,15.4,15.0,24.01,1.06,10.11,14
85.0,17.9,17.9,17.6,17.2,16.8,16.4,16.1,24.01,1.06,10.14,0
90.0,-,-,17.9,17.8,17.6,17.2,16.9,-,-,-,-
95.0,-,-,-,17.9,17.9,17.7,17.5,-,-,-,-
100.0,-,-,-,-,-,17.9,17.8,-,-,-,-
105.0,-,-,-,-,-,-,17.9,-,-,-,-
110.0,-,-,-,-,-,-,-,-,-,-,-
254.0,-,-,-,-,-,-,-,-,-,-,-
