SOUND,-1.00m,0.00m,1.0m,2.00m,3.00m,4.00m,5.00m,LCG,TCG,VCG,IY
0.0,1.1,0.7,0.3,0.2,0.1,0.1,0.1,24.06,5.67,9.71,11
5.0,2.1,1.7,1.3,0.9,0.6,0.5,0.4,24.06,5.67,9.74,11
10.0,3.1,2.7,2.3,1.9,1.5,1.1,0.9,24.06,5.67,9.76,11
15.0,4.0,3.6,3.3,2.9,2.5,2.1,1.7,24.06,5.67,9.79,11
20.0,5.0,4.6,4.2,3.9,3.5,3.1,2.7,24.06,5.67,9.81,11
25.0,6.0,5.6,5.2,4.8,4.4,4.1,3.7,24.06,5.67,9.84,11
30.0,7.0,6.6,6.2,5.8,5.4,5.0,4.7,24.06,5.67,9.86,11
35.0,8.0,7.6,7.2,6.8,6.4,6.0,5.6,24.06,5.67,9.89,11
40.0,9.0,8.6,8.2,7.8,7.4,7.0,6.6,24.06,5.67,9.91,11
45.0,10.0,9.6,9.2,8.8,8.4,8.0,7.6,24.06,5.67,9.94,11
50.0,10.9,10.6,10.2,9.8,9.4,9.0,8.6,24.06,5.67,9.96,11
55.0,11.9,11.5,11.1,10.8,10.4,10.0,9.6,24.06,5.67,9.99,11
60.0,12.9,12.5,12.1,11.7,11.4,11.0,10.6,24.06,5.67,10.01,11
65.0,13.9,13.5,13.1,12.7,12.3,11.9,11.6,24.06,5.67,10.04,11
70.0,14.9,14.5,14.1,13.7,13.3,12.9,12.5,24.06,5.67,10.06,11
75.0,15.9,15.5,15.1,14.7,14.3,13.9,13.5,24.06,5.67,10.09,11
80.0,16.9,16.5,16.1,15.7,15.3,14.9,14.5,24.06,5.67,10.11,11
85.0,17.3,17.3,17.1,16.7,16.3,15.9,15.5,24.06,5.67,10.14,0
90.0,-,-,17.3,17.3,17.0,16.7,16.3,-,-,-,-
95.0,-,-,-,17.3,17.3,17.2,16.9,-,-,-,-
100.0,-,-,-,-,17.3,17.3,17.3,-,-,-,-
105.0,-,-,-,-,-,-,17.3,-,-,-,-
110.0,-,-,-,-,-,-,-,-,-,-,-
256.2,-,-,-,-,-,-,-,-,-,-,-
